grid_size,total_flips,nproc,time_sec,iters,type
200,1000000,7,0.324,100,random
200,1000000,8,1.383,100,partition
200,1000000,8,0.277,100,random
200,1000000,9,1.261,100,partition
200,1000000,9,0.247,100,random
200,1000000,10,1.112,100,partition
200,1000000,10,0.221,100,random
200,1000000,11,1.048,100,partition
200,1000000,11,0.199,100,random
200,1000000,12,0.916,100,partition
200,1000000,12,0.194,100,random
500,1000000,1,10.4956,1,baseline
500,1000000,2,5.272,100,partition
500,1000000,2,3.284,100,random
500,1000000,3,3.809,100,partition
500,1000000,3,1.840,100,random
500,1000000,4,2.786,100,partition
500,1000000,4,1.318,100,random
500,1000000,5,2.191,100,partition
500,1000000,5,1.077,100,random
500,1000000,6,1.784,100,partition
500,1000000,6,0.927,100,random
500,1000000,7,1.586,100,partition
500,1000000,7,0.862,100,random
500,1000000,8,1.375,100,partition
500,1000000,8,0.822,100,random
500,1000000,9,1.293,100,partition
500,1000000,9,0.780,100,random
500,1000000,10,1.129,100,partition
500,1000000,10,0.759,100,random
500,1000000,11,1.027,100,partition
500,1000000,11,0.725,100,random
500,1000000,12,0.943,100,partition
500,1000000,12,0.729,100,random
200,1000000,1,10.4196,1,baseline
200,1000000,2,5.243,1000,partition
200,1000000,2,3.724,1000,random
200,1000000,3,3.602,1000,partition
200,1000000,3,2.276,1000,random
200,1000000,4,2.734,1000,partition
200,1000000,4,1.741,1000,random
200,1000000,5,2.185,1000,partition
200,1000000,5,1.522,1000,random
200,1000000,6,1.920,1000,partition
200,1000000,6,1.381,1000,random
200,1000000,7,1.612,1000,partition
200,1000000,7,1.311,1000,random
200,1000000,8,1.362,1000,partition
200,1000000,8,1.261,1000,random
200,1000000,9,1.258,1000,partition
200,1000000,9,1.230,1000,random
200,1000000,10,1.127,1000,partition
200,1000000,10,1.207,1000,random
200,1000000,11,1.018,1000,partition
200,1000000,11,1.191,1000,random
200,1000000,12,0.937,1000,partition
200,1000000,12,1.176,1000,random
500,1000000,1,10.3704,1,baseline
500,1000000,2,5.717,1000,partition
500,1000000,2,8.910,1000,random
500,1000000,3,3.758,1000,partition
500,1000000,3,7.195,1000,random
500,1000000,4,2.806,1000,partition
500,1000000,4,6.619,1000,random
500,1000000,5,2.178,1000,partition
500,1000000,5,6.399,1000,random
500,1000000,6,1.798,1000,partition
500,1000000,6,6.241,1000,random
500,1000000,7,1.628,1000,partition
500,1000000,7,6.174,1000,random
500,1000000,8,1.389,1000,partition
500,1000000,8,6.124,1000,random
500,1000000,9,1.239,1000,partition
500,1000000,9,6.104,1000,random
500,1000000,10,1.096,1000,partition
500,1000000,10,6.069,1000,random
500,1000000,11,1.029,1000,partition
500,1000000,11,6.544,1000,random
500,1000000,12,0.945,1000,partition
500,1000000,12,6.037,1000,random
