grid_size,total_flips,nproc,time_sec,iters,type
200,1000000,7,0.318,100,random
200,1000000,8,0.205,100,partition
200,1000000,8,0.311,100,random
200,1000000,9,0.200,100,partition
200,1000000,9,0.304,100,random
200,1000000,10,0.199,100,partition
200,1000000,10,0.301,100,random
200,1000000,11,0.202,100,partition
200,1000000,11,0.302,100,random
200,1000000,12,0.201,100,partition
200,1000000,12,0.303,100,random
500,1000000,1,0.2220,1,baseline
500,1000000,2,0.214,100,partition
500,1000000,2,0.828,100,random
500,1000000,3,0.208,100,partition
500,1000000,3,0.788,100,random
500,1000000,4,0.195,100,partition
500,1000000,4,0.779,100,random
500,1000000,5,0.194,100,partition
500,1000000,5,0.793,100,random
500,1000000,6,0.197,100,partition
500,1000000,6,0.776,100,random
500,1000000,7,0.210,100,partition
500,1000000,7,0.801,100,random
500,1000000,8,0.215,100,partition
500,1000000,8,0.792,100,random
500,1000000,9,0.195,100,partition
500,1000000,9,0.794,100,random
500,1000000,10,0.197,100,partition
500,1000000,10,0.792,100,random
500,1000000,11,0.202,100,partition
500,1000000,11,0.797,100,random
500,1000000,12,0.195,100,partition
500,1000000,12,0.790,100,random
200,1000000,1,0.2166,1,baseline
200,1000000,2,0.218,1000,partition
200,1000000,2,1.282,1000,random
200,1000000,3,0.210,1000,partition
200,1000000,3,1.265,1000,random
200,1000000,4,0.204,1000,partition
200,1000000,4,1.260,1000,random
200,1000000,5,0.202,1000,partition
200,1000000,5,1.260,1000,random
200,1000000,6,0.202,1000,partition
200,1000000,6,1.262,1000,random
200,1000000,7,0.211,1000,partition
200,1000000,7,1.275,1000,random
200,1000000,8,0.218,1000,partition
200,1000000,8,1.280,1000,random
200,1000000,9,0.214,1000,partition
200,1000000,9,1.282,1000,random
200,1000000,10,0.206,1000,partition
200,1000000,10,1.274,1000,random
200,1000000,11,0.206,1000,partition
200,1000000,11,1.279,1000,random
200,1000000,12,0.206,1000,partition
200,1000000,12,1.279,1000,random
500,1000000,1,0.2224,1,baseline
500,1000000,2,0.226,1000,partition
500,1000000,2,6.144,1000,random
500,1000000,3,0.211,1000,partition
500,1000000,3,6.131,1000,random
500,1000000,4,0.200,1000,partition
500,1000000,4,6.131,1000,random
500,1000000,5,0.202,1000,partition
500,1000000,5,6.108,1000,random
500,1000000,6,0.207,1000,partition
500,1000000,6,6.106,1000,random
500,1000000,7,0.213,1000,partition
500,1000000,7,6.124,1000,random
500,1000000,8,0.215,1000,partition
500,1000000,8,6.144,1000,random
500,1000000,9,0.207,1000,partition
500,1000000,9,6.135,1000,random
500,1000000,10,0.206,1000,partition
500,1000000,10,6.116,1000,random
500,1000000,11,0.209,1000,partition
500,1000000,11,6.144,1000,random
500,1000000,12,0.209,1000,partition
500,1000000,12,6.134,1000,random
